ASAP_molecule_ID,ASAP_batch_ID,ASAP_VCID,vendor_catalog_ID,vendor_batch_ID,vendor,parent_CXSMILES,salt_name,salt_ratio,MAC1_IC50_GMean_MOD,MAC1_IC50_GMean_NUM (µM),MAC1_IC50_GMean_STDDEV (×/÷),MAC1_IC50_GMean_COUNT
ASAP-0008327,ASAP-0008327-001,ASAP-VC-3629,Z7983219657,H4447074,Enamine,CC(C)[C@@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2CCCS(=O)(=O)C2=C1 |&1:3|,,,=,0.149,,1
ASAP-0008288,ASAP-0008288-001,ASAP-VC-3623,Z7983218190,H4403701,Enamine,CC(C)[C@@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=C1 |&1:3|,,,=,0.372,1.04,2
ASAP-0008275,ASAP-0008275-001,ASAP-VC-3621,Z7983218178,H4399188,Enamine,CC(C)[C@@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=C1 |&1:3|,,,=,0.491,1.11,3
ASAP-0000132,ASAP-0000132-001,ASAP-VC-1310,Z5010894404,H3334190,Enamine,O=C(NC1=CC=CC=C1)NC1=CC=C(C(=O)NC2C3=C(CC2C(=O)O)C(O)=CC=C3)C=C1,,,=,0.622,1.29,14
ASAP-0008302,ASAP-0008302-001,ASAP-VC-3628,Z7983219653,H4423336,Enamine,CC(C)[C@@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2OCC(=O)NC2=C1 |&1:3|,,,=,0.711,1.02,2
ASAP-0008279,ASAP-0008279-001,ASAP-VC-3844,Z7934394433,H4334281,Enamine,CC(C)[C@@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2OCCOC2=C1 |o1:3|,,,=,0.957,1.09,2
ASAP-0008296,ASAP-0008296-001,ASAP-VC-3785,Z8104079019,H4409204,Enamine,O=C(O)C[C@@H](NC(=O)C1=NC=NC2=C1C1=CC=C(F)C=C1N2)C1=CC=C(Br)C=C1 |&1:4|,,,=,0.998,1.01,2
ASAP-0008277,ASAP-0008277-001,ASAP-VC-4056,Z7913502333,H4387890,Enamine,CC(C)(C)[C@@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2OCCOC2=C1 |&1:4|,,,=,1.14,1.11,2
ASAP-0008270,ASAP-0008270-001,ASAP-VC-3634,Z7983219673,H4401642,Enamine,CC(C)[C@@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2OCCOC2=N1 |&1:3|,,,=,1.14,1.14,3
ASAP-0000876,ASAP-0000876-001,ASAP-VC-3624,Z7983218197,H4368800,Enamine,CC(C)[C@@H](NC1=NC=NC2=C1C=C(C1=NNC=C1)N2)C1=CC=C2OCCOC2=C1 |&1:3|,,,=,1.85,1.03,2
ASAP-0000751,ASAP-0000751-001,ASAP-VC-3688,Z7691912814,H4336704,Enamine,O=C(N[C@@H](CC1=NNN=N1)C1=CC=C(Br)C=C1)C1=NC=NC2=C1C=CN2 |&1:3|,,,=,2.02,1.07,2
ASAP-0008306,ASAP-0008306-001,ASAP-VC-3850,Z8139175799,H4429317,Enamine,"O=C(NC1=CC=CC2=C1NC=C2C(=O)N[C@@H]1C2=CC=CC=C2C[C@@H]1C(=O)O)NC1CC1 |o1:15,23|",,,=,2.05,1.16,2
ASAP-0000591,ASAP-0000591-001,ASAP-VC-3494,Z7691912474,H4292836,Enamine,COC1=CC=C([C@@H](CC(=O)O)NC(=O)C2=NC=NC3=C2C=CN3)C=C1 |&1:6|,,,=,2.09,1.02,2
ASAP-0008289,ASAP-0008289-001,ASAP-VC-4291,Z7913502347,H4407540,Enamine,C1=NC(N[C@@H](C2=CC=C3OCCOC3=C2)C2CCCC2)=C2C=CNC2=N1 |&1:4|,,,=,2.24,1.01,2
